系組代碼,校名,系組名,學群,學類,普通生錄取分數,學測_國文,學測_英文,分科_數甲,學測_數學A,學測_數學B,學測_自然,學測_社會,分科_地理,分科_歷史,分科_公民,分科_物理,分科_化學,分科_生物,同分參酌1_科目,同分參酌1_分數,同分參酌2_科目,同分參酌2_分數,同分參酌3_科目,同分參酌3_分數,,1,大學,科系
1,國立臺灣大學,中國文學系,文史哲學群,中國語文學類,302.5,1.5,1.25,,,1,,,1,1.25,,,,,,,,,,,,,,
2,國立臺灣大學,外國語文學系,外語學群,英語學類,281.75,1.25,2,,,,,,1,1,,,,,英,57,,,,,,,,
3,國立臺灣大學,歷史學系,文史哲學群,歷史學類,260,1,1,,,,,,1,1,1,,,,歷,55,國,56,6,,,,國立臺灣大學,歷史學系
4,國立臺灣大學,哲學系,文史哲學群,哲學學類,204,1,1,,,,,,,1,1,,,,國,55,,,,,,,國立臺灣大學,哲學系
5,國立臺灣大學,人類學系,社會與心理學群,人類／民族學學類,283,1,1.5,,,,,,1,1,1,,,,英,56,,,,,,,國立臺灣大學,人類學系
6,國立臺灣大學,圖書資訊學系,資訊學群,圖書資訊學類,237,1.25,1.25,,,,,,,1,1,,,,,,,,,,,,國立臺灣大學,圖書資訊學系
6,國立臺灣大學,圖書資訊學系,文史哲學群,圖書資訊學類,237,1.25,1.25,,,,,,,1,1,,,,,,,,,,,,國立臺灣大學,圖書資訊學系
7,國立臺灣大學,日本語文學系,外語學群,日語文學類,313,1.5,1.5,,,,,,1,1,1,,,,,,,,,,,,國立臺灣大學,日本語文學系
10,國立臺灣大學,戲劇學系(男),藝術學群,表演藝術學類,293,1.5,1.5,,,1,,,1,1,,,,,,,,,,,,,國立臺灣大學,戲劇學系
11,國立臺灣大學,戲劇學系(女),藝術學群,表演藝術學類,302,1.5,1.5,,,1,,,1,1,,,,,,,,,,,,,國立臺灣大學,戲劇學系
12,國立臺灣大學,數學系,數理化學群,數學學類,291.5,,1,1.5,1.5,,,,,,,1,1,,,,,,,,,,,
13,國立臺灣大學,物理學系,數理化學群,物理學類,251,,1,1.5,,,,,,,,1.5,1,,物,60,數甲,42,英,52,,,國立臺灣大學,物理學系
14,國立臺灣大學,化學系,數理化學群,化學學類,245,1,1,1,,,,,,,,1,1,,,,,,,,,,,
15,國立臺灣大學,地質科學系,地球與環境學群,地質地球與環境科學學類,218,1,1,1,,,,,,,,1,1,,數甲,30,,,,,,,國立臺灣大學,地質科學系
16,國立臺灣大學,心理學系,社會與心理學群,心理學類,240,1,1,1,,,,,,,,,1,1,數甲,42,英,52,2,,,,國立臺灣大學,心理學系
17,國立臺灣大學,地理環境資源學系A組,地球與環境學群,地理學類,128,,,1,,,,,,,,1,1,,,,,,,,,,國立臺灣大學,地理環境資源學系
20,國立臺灣大學,地理環境資源學系B組,地球與環境學群,地理學類,175.75,,,,,1,,,1.25,,1,,,,,,,,,,,,國立臺灣大學,地理環境資源學系
21,國立臺灣大學,大氣科學系,地球與環境學群,大氣科學學類,261.25,1,1,1.25,,,,,,,,1.25,1.25,,,,,,,,,,國立臺灣大學,大氣科學系
22,國立臺灣大學,政治學系政治理論組,法政學群,政治學類,296.25,1.25,1.25,,,,,,1,1,,,,,,,,,,,,,國立臺灣大學,政治學系
